id,date_label,title,company,location,duration_label,description,details,order
bsc,Jul 2020 - Jul 2023,Bachelor of Science in Computer Science,Shankar Narayan College of Arts & Commerce,"Bhayander, Maharashtra, India",3 Years | CGPA: 9.23/10,Affiliated to the University of Mumbai. Completed Bachelor of Science in Computer Science with excellent academic performance.,Relevant Courses::,1
hsc,Jun 2016 - Jul 2020,Higher Secondary School,Divine Providence High School & Jr. College,"Mumbai, India",Maharashtra State Board | India,Completed schooling with comprehensive education in Science & IT stream.,Major Subjects::,2
