id,title,slug,summary,description,tech_stack,image_url,github_url,live_url,category,year,featured,order
larabasex,LaraBaseX,larabasex,What LaraBaseX Is ? <br> A starter kit for developers who want to skip repetitive setup work and start building features right away.,,"Laravel 12, ReactJS (Vite + Axios), Shadcn UI, MySQL, Tailwind CSS",assets/img/larabasex.png,https://github.com/ayush-sleeping/LaraBaseX,,Frontend + Backend Development,Aug 2025,TRUE,1
writeon,WriteOn,writeon,"Create, update, and explore blog posts with a beautiful, responsive UI, rich text editing, and seamless navigation with the power of Firebase.",,"ReactJS, Vite, Firebase, JavaScript, Tailwind CSS, HTML",assets/img/write_on.png,https://github.com/ayush-sleeping/WriteOn,https://ayush-sleeping.github.io/WriteOn/,Frontend + Firebase Database,July 2025,TRUE,2
dailybuzz,DailyBuzz,dailybuzz,"A visually rich, modular news web app built with React and Vite, fetching live news from NewsAPI.org.",,"ReactJS, Vite, NewsAPI, JavaScript, CSS, HTML",assets/img/daily_buzz.png,https://github.com/ayush-sleeping/DailyBuzz,,Frontend Development,July 2025,TRUE,3
personal-portfolio,Personal Portfolio,personal-portfolio,A responsive portfolio website to showcase my skills and projects as a web developer. Built with modern web technologies and optimized for all devices.,,"JavaScript, CSS, HTML, Bootstrap",assets/img/portfolio project.png,https://github.com/ayush-sleeping/Personal-Portfolio,https://ayush-sleeping.github.io/Personal-Portfolio/,Frontend Development,Jun 2025,TRUE,4
nft-ecommerce,NFT Ecommerce,nft-ecommerce,"Complete ecommerce platform offering user authentication, product listings, shopping cart management and order tracking for users, while providing sellers with product management tools.",,"JavaScript, Angular, Bootstrap, CSS, HTML",assets/img/1.2 User homepage.png,https://github.com/ayush-sleeping/NFT-Ecommerce,,Angular CRUD Project,Oct 2023,TRUE,5
brija-stream,Brija Stream,brija-stream,"Streaming platform that combines the best features inspired by Disney+, Prime, Netflix, Hulu, and AppleTV+ with advanced search functionality.",,"JavaScript, CSS, HTML",assets/img/2 .png,https://github.com/ayush-sleeping/Brija-Stream,https://ayush-sleeping.github.io/Brija-Stream/,Frontend + Search API,Sep 2023,TRUE,6
jabri-travel,JaBri Travel,jabri-travel,A beautiful and responsive tour and travel booking website with modern design and smooth user experience for travel enthusiasts.,,"JavaScript, CSS, HTML",assets/img/jabritravelss.png,https://github.com/ayush-sleeping/JaBri-Travel,https://jabri-travel.netlify.app,Frontend Development,Jun 2022,TRUE,7
