id,date_label,title,company,location,duration_label,description,details,order
leapswitch,Oct 2025 - Present,Backend Developer,Leapswitch Networks,India,Present | Onsite,"Building and maintaining backend services and REST APIs, focused on scalable, performant server-side systems and database design.","Backend::Laravel + PHP + Python + Django + MySQL | Frontend::JavaScript, React, Next.js, Bootstrap, HTML, CSS | Others::REST APIs, MVC, Git, AWS",1
skilllogic,July 2025 - Oct 2025,FullStack Web Application Developer,SkillLogic Technologies,India,3.5 Months | Remote,"Worked on various projects using Reactjs, Laravel and MySQL.","Backend::Laravel + MySQL | Frontend::Reactjs, TypeScript, JavaScript, TailWind CSS, HTML, CSS, Bootstrap | Others::MVC, Git, AWS, API, Basic UI/UX",2
technicul,Oct 2023 - Oct 2024,Junior FullStack Web Developer,Technicul Cloud LLP,"Mumbai, India",1 Year | Onsite,"Developed Laravel-based REST APIs for real-world applications. Worked with Laravel Framework, MySQL Database, JavaScript, Bootstrap, HTML, CSS across multiple projects focusing on performance and UI consistency.","Backend::Laravel + MySQL | Frontend::JavaScript, HTML, CSS, Bootstrap | Others::MVC, Git, AWS, API, Basic UI/UX",3
anudip,Jun 2023 - Sept 2024,Trainee : Java Fullstack Development,Anudip Foundation,"Mumbai, India",Paid Training Course | Hybrid,"Hands-on training in Spring Boot, Hibernate, Angular, and Git. Built practice apps using REST APIs and MVC design pattern for enterprise-level applications.","Backend::Core Java, Spring Boot, MySQL, Hibernate | Frontend::Angular, HTML, CSS, JavaScript, Bootstrap | Others::Git, AWS - Practical hands-on experience through daily assignments",4
tns,Aug 2022 - Sept 2022,Trainee : Youth Employability Program,TNS India Foundation,"Mumbai, India",Training Program | Onsite,"Completed training on soft skills, communication, and professional readiness.",,5
